ID_global,Modulo,Modulo_carpeta,Orden_modulo,Pantalla,Archivo_ordenado,Archivo_mockup,Etapa,Funcionalidad_operacion,Nombre_original
NC-001,ESTUDIANTE,01_estudiante,1,Acceso Al Sistema Neurocommand 1,01_imagenes_ordenadas/01_estudiante/001_acceso_al_sistema_neurocommand_1.png,02_mockups_anotados/01_estudiante/001_acceso_al_sistema_neurocommand_1_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",acceso_al_sistema_neurocommand_1
NC-002,ESTUDIANTE,01_estudiante,2,Acceso Al Sistema Neurocommand 2,01_imagenes_ordenadas/01_estudiante/002_acceso_al_sistema_neurocommand_2.png,02_mockups_anotados/01_estudiante/002_acceso_al_sistema_neurocommand_2_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",acceso_al_sistema_neurocommand_2
NC-003,ESTUDIANTE,01_estudiante,3,Acceso Al Sistema Neurocommand 3,01_imagenes_ordenadas/01_estudiante/003_acceso_al_sistema_neurocommand_3.png,02_mockups_anotados/01_estudiante/003_acceso_al_sistema_neurocommand_3_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",acceso_al_sistema_neurocommand_3
NC-004,ESTUDIANTE,01_estudiante,4,Acceso Al Sistema Neurocommand 4,01_imagenes_ordenadas/01_estudiante/004_acceso_al_sistema_neurocommand_4.png,02_mockups_anotados/01_estudiante/004_acceso_al_sistema_neurocommand_4_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",acceso_al_sistema_neurocommand_4
NC-005,ESTUDIANTE,01_estudiante,5,Onboarding Análisis Neural,01_imagenes_ordenadas/01_estudiante/005_onboarding_analisis_neural.png,02_mockups_anotados/01_estudiante/005_onboarding_analisis_neural_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",onboarding_an_lisis_neural
NC-006,ESTUDIANTE,01_estudiante,6,Onboarding Consolidaci N De Perfil 1,01_imagenes_ordenadas/01_estudiante/006_onboarding_consolidaci_n_de_perfil_1.png,02_mockups_anotados/01_estudiante/006_onboarding_consolidaci_n_de_perfil_1_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",onboarding_consolidaci_n_de_perfil_1
NC-007,ESTUDIANTE,01_estudiante,7,Onboarding Consolidaci N De Perfil 2,01_imagenes_ordenadas/01_estudiante/007_onboarding_consolidaci_n_de_perfil_2.png,02_mockups_anotados/01_estudiante/007_onboarding_consolidaci_n_de_perfil_2_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",onboarding_consolidaci_n_de_perfil_2
NC-008,ESTUDIANTE,01_estudiante,8,Onboarding Estudiante Paso 1,01_imagenes_ordenadas/01_estudiante/008_onboarding_estudiante_paso_1.png,02_mockups_anotados/01_estudiante/008_onboarding_estudiante_paso_1_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",onboarding_estudiante_paso_1
NC-009,ESTUDIANTE,01_estudiante,9,Onboarding Estudiante Paso 2,01_imagenes_ordenadas/01_estudiante/009_onboarding_estudiante_paso_2.png,02_mockups_anotados/01_estudiante/009_onboarding_estudiante_paso_2_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",onboarding_estudiante_paso_2
NC-010,ESTUDIANTE,01_estudiante,10,Perfil De Usuario Configuración Personal,01_imagenes_ordenadas/01_estudiante/010_perfil_de_usuario_configuracion_personal.png,02_mockups_anotados/01_estudiante/010_perfil_de_usuario_configuracion_personal_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",perfil_de_usuario_configuraci_n_personal
NC-011,ESTUDIANTE,01_estudiante,11,Recuperación De Acceso Seguridad 1,01_imagenes_ordenadas/01_estudiante/011_recuperacion_de_acceso_seguridad_1.png,02_mockups_anotados/01_estudiante/011_recuperacion_de_acceso_seguridad_1_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",recuperaci_n_de_acceso_seguridad_1
NC-012,ESTUDIANTE,01_estudiante,12,Recuperación De Acceso Seguridad 2,01_imagenes_ordenadas/01_estudiante/012_recuperacion_de_acceso_seguridad_2.png,02_mockups_anotados/01_estudiante/012_recuperacion_de_acceso_seguridad_2_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",recuperaci_n_de_acceso_seguridad_2
NC-013,ESTUDIANTE,01_estudiante,13,Seguridad Biométrica Configuración Acceso,01_imagenes_ordenadas/01_estudiante/013_seguridad_biometrica_configuracion_acceso.png,02_mockups_anotados/01_estudiante/013_seguridad_biometrica_configuracion_acceso_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",seguridad_biom_trica_configuraci_n_acceso
NC-014,ESTUDIANTE,01_estudiante,14,Centro De Logros Progresión Académica 1,01_imagenes_ordenadas/01_estudiante/014_centro_de_logros_progresion_academica_1.png,02_mockups_anotados/01_estudiante/014_centro_de_logros_progresion_academica_1_mockup_anotado.png,Panel personal y progresión,"Consultar progreso, XP, logros, actividades pendientes y avance de competencias.",centro_de_logros_progresi_n_acad_mica_1
NC-015,ESTUDIANTE,01_estudiante,15,Centro De Logros Progresión Académica 2,01_imagenes_ordenadas/01_estudiante/015_centro_de_logros_progresion_academica_2.png,02_mockups_anotados/01_estudiante/015_centro_de_logros_progresion_academica_2_mockup_anotado.png,Panel personal y progresión,"Consultar progreso, XP, logros, actividades pendientes y avance de competencias.",centro_de_logros_progresi_n_acad_mica_2
NC-016,ESTUDIANTE,01_estudiante,16,Panel De Control Estudiante 1,01_imagenes_ordenadas/01_estudiante/016_panel_de_control_estudiante_1.png,02_mockups_anotados/01_estudiante/016_panel_de_control_estudiante_1_mockup_anotado.png,Panel personal y progresión,"Consultar progreso, XP, logros, actividades pendientes y avance de competencias.",panel_de_control_estudiante_1
NC-017,ESTUDIANTE,01_estudiante,17,Panel De Control Estudiante 2,01_imagenes_ordenadas/01_estudiante/017_panel_de_control_estudiante_2.png,02_mockups_anotados/01_estudiante/017_panel_de_control_estudiante_2_mockup_anotado.png,Panel personal y progresión,"Consultar progreso, XP, logros, actividades pendientes y avance de competencias.",panel_de_control_estudiante_2
NC-018,ESTUDIANTE,01_estudiante,18,Panel De Control Estudiante 3,01_imagenes_ordenadas/01_estudiante/018_panel_de_control_estudiante_3.png,02_mockups_anotados/01_estudiante/018_panel_de_control_estudiante_3_mockup_anotado.png,Panel personal y progresión,"Consultar progreso, XP, logros, actividades pendientes y avance de competencias.",panel_de_control_estudiante_3
NC-019,ESTUDIANTE,01_estudiante,19,Salón De La Fama Lite Neural,01_imagenes_ordenadas/01_estudiante/019_salon_de_la_fama_lite_neural.png,02_mockups_anotados/01_estudiante/019_salon_de_la_fama_lite_neural_mockup_anotado.png,Panel personal y progresión,"Consultar progreso, XP, logros, actividades pendientes y avance de competencias.",sal_n_de_la_fama_lite_neural
NC-020,ESTUDIANTE,01_estudiante,20,Briefing Del Caso Introducci N Narrativa 1,01_imagenes_ordenadas/01_estudiante/020_briefing_del_caso_introducci_n_narrativa_1.png,02_mockups_anotados/01_estudiante/020_briefing_del_caso_introducci_n_narrativa_1_mockup_anotado.png,Selección y preparación del caso,"Escoger un caso, revisar contexto clínico/narrativo, objetivos y antecedentes del sujeto simulado.",briefing_del_caso_introducci_n_narrativa_1
NC-021,ESTUDIANTE,01_estudiante,21,Briefing Del Caso Introducci N Narrativa 2,01_imagenes_ordenadas/01_estudiante/021_briefing_del_caso_introducci_n_narrativa_2.png,02_mockups_anotados/01_estudiante/021_briefing_del_caso_introducci_n_narrativa_2_mockup_anotado.png,Selección y preparación del caso,"Escoger un caso, revisar contexto clínico/narrativo, objetivos y antecedentes del sujeto simulado.",briefing_del_caso_introducci_n_narrativa_2
NC-022,ESTUDIANTE,01_estudiante,22,Briefing Del Caso Introducci N Narrativa 3,01_imagenes_ordenadas/01_estudiante/022_briefing_del_caso_introducci_n_narrativa_3.png,02_mockups_anotados/01_estudiante/022_briefing_del_caso_introducci_n_narrativa_3_mockup_anotado.png,Selección y preparación del caso,"Escoger un caso, revisar contexto clínico/narrativo, objetivos y antecedentes del sujeto simulado.",briefing_del_caso_introducci_n_narrativa_3
NC-023,ESTUDIANTE,01_estudiante,23,Dossier De Sujetos Selecci N De Caso,01_imagenes_ordenadas/01_estudiante/023_dossier_de_sujetos_selecci_n_de_caso.png,02_mockups_anotados/01_estudiante/023_dossier_de_sujetos_selecci_n_de_caso_mockup_anotado.png,Selección y preparación del caso,"Escoger un caso, revisar contexto clínico/narrativo, objetivos y antecedentes del sujeto simulado.",dossier_de_sujetos_selecci_n_de_caso
NC-024,ESTUDIANTE,01_estudiante,24,Advertencia De Contenido Sensible 1,01_imagenes_ordenadas/01_estudiante/024_advertencia_de_contenido_sensible_1.png,02_mockups_anotados/01_estudiante/024_advertencia_de_contenido_sensible_1_mockup_anotado.png,Consentimiento y preparación ética,"Aceptar advertencias de contenido sensible, condiciones académicas y calibrar el entorno de simulación.",advertencia_de_contenido_sensible_1
NC-025,ESTUDIANTE,01_estudiante,25,Advertencia De Contenido Sensible 2,01_imagenes_ordenadas/01_estudiante/025_advertencia_de_contenido_sensible_2.png,02_mockups_anotados/01_estudiante/025_advertencia_de_contenido_sensible_2_mockup_anotado.png,Consentimiento y preparación ética,"Aceptar advertencias de contenido sensible, condiciones académicas y calibrar el entorno de simulación.",advertencia_de_contenido_sensible_2
NC-026,ESTUDIANTE,01_estudiante,26,Advertencia De Contenido Sensible 3,01_imagenes_ordenadas/01_estudiante/026_advertencia_de_contenido_sensible_3.png,02_mockups_anotados/01_estudiante/026_advertencia_de_contenido_sensible_3_mockup_anotado.png,Consentimiento y preparación ética,"Aceptar advertencias de contenido sensible, condiciones académicas y calibrar el entorno de simulación.",advertencia_de_contenido_sensible_3
NC-027,ESTUDIANTE,01_estudiante,27,Escenario Atención Hospitalaria 1,01_imagenes_ordenadas/01_estudiante/027_escenario_atencion_hospitalaria_1.png,02_mockups_anotados/01_estudiante/027_escenario_atencion_hospitalaria_1_mockup_anotado.png,Simulación activa,"Interactuar con escenarios, dialogar con personajes/IA, tomar decisiones y recibir retroalimentación inmediata.",escenario_atenci_n_hospitalaria_1
NC-028,ESTUDIANTE,01_estudiante,28,Escenario Atención Hospitalaria 2,01_imagenes_ordenadas/01_estudiante/028_escenario_atencion_hospitalaria_2.png,02_mockups_anotados/01_estudiante/028_escenario_atencion_hospitalaria_2_mockup_anotado.png,Simulación activa,"Interactuar con escenarios, dialogar con personajes/IA, tomar decisiones y recibir retroalimentación inmediata.",escenario_atenci_n_hospitalaria_2
NC-029,ESTUDIANTE,01_estudiante,29,Escenario Comisaría De Familia,01_imagenes_ordenadas/01_estudiante/029_escenario_comisaria_de_familia.png,02_mockups_anotados/01_estudiante/029_escenario_comisaria_de_familia_mockup_anotado.png,Simulación activa,"Interactuar con escenarios, dialogar con personajes/IA, tomar decisiones y recibir retroalimentación inmediata.",escenario_comisar_a_de_familia
NC-030,ESTUDIANTE,01_estudiante,30,Escenario Intervención Comunitaria,01_imagenes_ordenadas/01_estudiante/030_escenario_intervencion_comunitaria.png,02_mockups_anotados/01_estudiante/030_escenario_intervencion_comunitaria_mockup_anotado.png,Simulación activa,"Interactuar con escenarios, dialogar con personajes/IA, tomar decisiones y recibir retroalimentación inmediata.",escenario_intervenci_n_comunitaria
NC-031,ESTUDIANTE,01_estudiante,31,Retroalimentaci N De Diálogo En Vivo,01_imagenes_ordenadas/01_estudiante/031_retroalimentaci_n_de_dialogo_en_vivo.png,02_mockups_anotados/01_estudiante/031_retroalimentaci_n_de_dialogo_en_vivo_mockup_anotado.png,Simulación activa,"Interactuar con escenarios, dialogar con personajes/IA, tomar decisiones y recibir retroalimentación inmediata.",retroalimentaci_n_de_di_logo_en_vivo
NC-032,ESTUDIANTE,01_estudiante,32,Simulación Estado De Crisis Aguda,01_imagenes_ordenadas/01_estudiante/032_simulacion_estado_de_crisis_aguda.png,02_mockups_anotados/01_estudiante/032_simulacion_estado_de_crisis_aguda_mockup_anotado.png,Simulación activa,"Interactuar con escenarios, dialogar con personajes/IA, tomar decisiones y recibir retroalimentación inmediata.",simulaci_n_estado_de_crisis_aguda
NC-033,ESTUDIANTE,01_estudiante,33,Caja De Herramientas Biblioteca Digital 1,01_imagenes_ordenadas/01_estudiante/033_caja_de_herramientas_biblioteca_digital_1.png,02_mockups_anotados/01_estudiante/033_caja_de_herramientas_biblioteca_digital_1_mockup_anotado.png,Caja de herramientas clínicas,"Consultar DSM-V, protocolos legales, biblioteca digital y escalas psicométricas durante el caso.",caja_de_herramientas_biblioteca_digital_1
NC-034,ESTUDIANTE,01_estudiante,34,Caja De Herramientas Biblioteca Digital 2,01_imagenes_ordenadas/01_estudiante/034_caja_de_herramientas_biblioteca_digital_2.png,02_mockups_anotados/01_estudiante/034_caja_de_herramientas_biblioteca_digital_2_mockup_anotado.png,Caja de herramientas clínicas,"Consultar DSM-V, protocolos legales, biblioteca digital y escalas psicométricas durante el caso.",caja_de_herramientas_biblioteca_digital_2
NC-035,ESTUDIANTE,01_estudiante,35,Caja De Herramientas Detalle Dsm V,01_imagenes_ordenadas/01_estudiante/035_caja_de_herramientas_detalle_dsm_v.png,02_mockups_anotados/01_estudiante/035_caja_de_herramientas_detalle_dsm_v_mockup_anotado.png,Caja de herramientas clínicas,"Consultar DSM-V, protocolos legales, biblioteca digital y escalas psicométricas durante el caso.",caja_de_herramientas_detalle_dsm_v
NC-036,ESTUDIANTE,01_estudiante,36,Caja De Herramientas Protocolos Legales,01_imagenes_ordenadas/01_estudiante/036_caja_de_herramientas_protocolos_legales.png,02_mockups_anotados/01_estudiante/036_caja_de_herramientas_protocolos_legales_mockup_anotado.png,Caja de herramientas clínicas,"Consultar DSM-V, protocolos legales, biblioteca digital y escalas psicométricas durante el caso.",caja_de_herramientas_protocolos_legales
NC-037,ESTUDIANTE,01_estudiante,37,Herramientas Detalle Dsm V Avanzado,01_imagenes_ordenadas/01_estudiante/037_herramientas_detalle_dsm_v_avanzado.png,02_mockups_anotados/01_estudiante/037_herramientas_detalle_dsm_v_avanzado_mockup_anotado.png,Caja de herramientas clínicas,"Consultar DSM-V, protocolos legales, biblioteca digital y escalas psicométricas durante el caso.",herramientas_detalle_dsm_v_avanzado
NC-038,ESTUDIANTE,01_estudiante,38,Herramientas Escalas Psicométricas,01_imagenes_ordenadas/01_estudiante/038_herramientas_escalas_psicometricas.png,02_mockups_anotados/01_estudiante/038_herramientas_escalas_psicometricas_mockup_anotado.png,Caja de herramientas clínicas,"Consultar DSM-V, protocolos legales, biblioteca digital y escalas psicométricas durante el caso.",herramientas_escalas_psicom_tricas
NC-039,ESTUDIANTE,01_estudiante,39,Evaluaci N Competencias Transversales,01_imagenes_ordenadas/01_estudiante/039_evaluaci_n_competencias_transversales.png,02_mockups_anotados/01_estudiante/039_evaluaci_n_competencias_transversales_mockup_anotado.png,"Cierre, reflexión y evaluación","Registrar reflexión clínica, revisar resultados, analizar competencias y recibir recomendaciones formativas.",evaluaci_n_competencias_transversales
NC-040,ESTUDIANTE,01_estudiante,40,Informe Evolución De Competencias,01_imagenes_ordenadas/01_estudiante/040_informe_evolucion_de_competencias.png,02_mockups_anotados/01_estudiante/040_informe_evolucion_de_competencias_mockup_anotado.png,"Cierre, reflexión y evaluación","Registrar reflexión clínica, revisar resultados, analizar competencias y recibir recomendaciones formativas.",informe_evoluci_n_de_competencias
NC-041,ESTUDIANTE,01_estudiante,41,Informe Final De Resultados 1,01_imagenes_ordenadas/01_estudiante/041_informe_final_de_resultados_1.png,02_mockups_anotados/01_estudiante/041_informe_final_de_resultados_1_mockup_anotado.png,"Cierre, reflexión y evaluación","Registrar reflexión clínica, revisar resultados, analizar competencias y recibir recomendaciones formativas.",informe_final_de_resultados_1
NC-042,ESTUDIANTE,01_estudiante,42,Informe Final De Resultados 2,01_imagenes_ordenadas/01_estudiante/042_informe_final_de_resultados_2.png,02_mockups_anotados/01_estudiante/042_informe_final_de_resultados_2_mockup_anotado.png,"Cierre, reflexión y evaluación","Registrar reflexión clínica, revisar resultados, analizar competencias y recibir recomendaciones formativas.",informe_final_de_resultados_2
NC-043,ESTUDIANTE,01_estudiante,43,Informe Final De Resultados 3,01_imagenes_ordenadas/01_estudiante/043_informe_final_de_resultados_3.png,02_mockups_anotados/01_estudiante/043_informe_final_de_resultados_3_mockup_anotado.png,"Cierre, reflexión y evaluación","Registrar reflexión clínica, revisar resultados, analizar competencias y recibir recomendaciones formativas.",informe_final_de_resultados_3
NC-044,ESTUDIANTE,01_estudiante,44,Entorno Inmersión En Unidad De Trauma,01_imagenes_ordenadas/01_estudiante/044_entorno_inmersion_en_unidad_de_trauma.png,02_mockups_anotados/01_estudiante/044_entorno_inmersion_en_unidad_de_trauma_mockup_anotado.png,Soporte general,Consultar una vista del sistema y entender su estado operativo.,entorno_inmersi_n_en_unidad_de_trauma
NC-045,ESTUDIANTE,01_estudiante,45,Galería De Entornos De Simulación 1,01_imagenes_ordenadas/01_estudiante/045_galeria_de_entornos_de_simulacion_1.png,02_mockups_anotados/01_estudiante/045_galeria_de_entornos_de_simulacion_1_mockup_anotado.png,Soporte general,Consultar una vista del sistema y entender su estado operativo.,galer_a_de_entornos_de_simulaci_n_1
NC-046,ESTUDIANTE,01_estudiante,46,Galería De Entornos De Simulación 2,01_imagenes_ordenadas/01_estudiante/046_galeria_de_entornos_de_simulacion_2.png,02_mockups_anotados/01_estudiante/046_galeria_de_entornos_de_simulacion_2_mockup_anotado.png,Soporte general,Consultar una vista del sistema y entender su estado operativo.,galer_a_de_entornos_de_simulaci_n_2
NC-047,DOCENTE,02_docente,1,Detalle De Grupo Seguimiento Docente,01_imagenes_ordenadas/02_docente/001_detalle_de_grupo_seguimiento_docente.png,02_mockups_anotados/02_docente/001_detalle_de_grupo_seguimiento_docente_mockup_anotado.png,Supervisión académica,"Monitorear grupos, estudiantes, progreso, alertas y estado de participación.",detalle_de_grupo_seguimiento_docente
NC-048,DOCENTE,02_docente,2,Panel De Control Docente 1,01_imagenes_ordenadas/02_docente/002_panel_de_control_docente_1.png,02_mockups_anotados/02_docente/002_panel_de_control_docente_1_mockup_anotado.png,Supervisión académica,"Monitorear grupos, estudiantes, progreso, alertas y estado de participación.",panel_de_control_docente_1
NC-049,DOCENTE,02_docente,3,Panel De Control Docente 2,01_imagenes_ordenadas/02_docente/003_panel_de_control_docente_2.png,02_mockups_anotados/02_docente/003_panel_de_control_docente_2_mockup_anotado.png,Supervisión académica,"Monitorear grupos, estudiantes, progreso, alertas y estado de participación.",panel_de_control_docente_2
NC-050,DOCENTE,02_docente,4,Panel De Control Docente 3,01_imagenes_ordenadas/02_docente/004_panel_de_control_docente_3.png,02_mockups_anotados/02_docente/004_panel_de_control_docente_3_mockup_anotado.png,Supervisión académica,"Monitorear grupos, estudiantes, progreso, alertas y estado de participación.",panel_de_control_docente_3
NC-051,DOCENTE,02_docente,5,Biblioteca De Casos De Referencia,01_imagenes_ordenadas/02_docente/005_biblioteca_de_casos_de_referencia.png,02_mockups_anotados/02_docente/005_biblioteca_de_casos_de_referencia_mockup_anotado.png,Gestión de contenido,"Crear, editar y organizar casos, escenarios, narrativas y recursos multimedia.",biblioteca_de_casos_de_referencia
NC-052,DOCENTE,02_docente,6,Editor De Casos Nuevo Escenario,01_imagenes_ordenadas/02_docente/006_editor_de_casos_nuevo_escenario.png,02_mockups_anotados/02_docente/006_editor_de_casos_nuevo_escenario_mockup_anotado.png,Gestión de contenido,"Crear, editar y organizar casos, escenarios, narrativas y recursos multimedia.",editor_de_casos_nuevo_escenario
NC-053,DOCENTE,02_docente,7,Editor De Escenarios Formativos 1,01_imagenes_ordenadas/02_docente/007_editor_de_escenarios_formativos_1.png,02_mockups_anotados/02_docente/007_editor_de_escenarios_formativos_1_mockup_anotado.png,Gestión de contenido,"Crear, editar y organizar casos, escenarios, narrativas y recursos multimedia.",editor_de_escenarios_formativos_1
NC-054,DOCENTE,02_docente,8,Editor De Escenarios Formativos 2,01_imagenes_ordenadas/02_docente/008_editor_de_escenarios_formativos_2.png,02_mockups_anotados/02_docente/008_editor_de_escenarios_formativos_2_mockup_anotado.png,Gestión de contenido,"Crear, editar y organizar casos, escenarios, narrativas y recursos multimedia.",editor_de_escenarios_formativos_2
NC-055,DOCENTE,02_docente,9,Editor De Escenarios Formativos 3,01_imagenes_ordenadas/02_docente/009_editor_de_escenarios_formativos_3.png,02_mockups_anotados/02_docente/009_editor_de_escenarios_formativos_3_mockup_anotado.png,Gestión de contenido,"Crear, editar y organizar casos, escenarios, narrativas y recursos multimedia.",editor_de_escenarios_formativos_3
NC-056,DOCENTE,02_docente,10,Gestión Multimedia Banco De Activos,01_imagenes_ordenadas/02_docente/010_gestion_multimedia_banco_de_activos.png,02_mockups_anotados/02_docente/010_gestion_multimedia_banco_de_activos_mockup_anotado.png,Gestión de contenido,"Crear, editar y organizar casos, escenarios, narrativas y recursos multimedia.",gesti_n_multimedia_banco_de_activos
NC-057,DOCENTE,02_docente,11,Anal Ética Comparativa Rendimiento De Cohortes,01_imagenes_ordenadas/02_docente/011_anal_etica_comparativa_rendimiento_de_cohortes.png,02_mockups_anotados/02_docente/011_anal_etica_comparativa_rendimiento_de_cohortes_mockup_anotado.png,Analítica docente,"Analizar errores frecuentes, desempeño grupal, mapas de calor, cohortes e historial de cambios académicos.",anal_tica_comparativa_rendimiento_de_cohortes
NC-058,DOCENTE,02_docente,12,Historial De Cambios Gestión Académica,01_imagenes_ordenadas/02_docente/012_historial_de_cambios_gestion_academica.png,02_mockups_anotados/02_docente/012_historial_de_cambios_gestion_academica_mockup_anotado.png,Analítica docente,"Analizar errores frecuentes, desempeño grupal, mapas de calor, cohortes e historial de cambios académicos.",historial_de_cambios_gesti_n_acad_mica
NC-059,DOCENTE,02_docente,13,Mapa De Calor Desempeño Grupal,01_imagenes_ordenadas/02_docente/013_mapa_de_calor_desempeno_grupal.png,02_mockups_anotados/02_docente/013_mapa_de_calor_desempeno_grupal_mockup_anotado.png,Analítica docente,"Analizar errores frecuentes, desempeño grupal, mapas de calor, cohortes e historial de cambios académicos.",mapa_de_calor_desempe_o_grupal
